Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR37721253,WGS,296,2304011980,PRJNA1419542,SAMN55191770,Metagenome or environmental,675115680,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598599,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,A1S,Small intestine,36.07 N 120.38 E,A1S,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:40:00Z,1,A1S,SRP685723
SRR37721255,WGS,296,3384249367,PRJNA1419542,SAMN55191822,Metagenome or environmental,988794818,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598597,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,M9S,Small intestine,36.07 N 120.38 E,M9S,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:42:00Z,1,M9S,SRP685723
SRR37721261,WGS,297,702334865,PRJNA1419542,SAMN55191816,Metagenome or environmental,211768401,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598591,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,M6S,Small intestine,36.07 N 120.38 E,M6S,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:40:00Z,1,M6S,SRP685723
SRR37721265,WGS,294,1273920963,PRJNA1419542,SAMN55191768,Metagenome or environmental,376740370,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598587,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,A12S,Small intestine,36.07 N 120.38 E,A12S,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:36:00Z,1,A12S,SRP685723
SRR37721272,WGS,292,546542363,PRJNA1419542,SAMN55191806,Metagenome or environmental,163830288,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598580,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,M11S,Small intestine,36.07 N 120.38 E,M11S,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:38:00Z,1,M11S,SRP685723
SRR37721296,WGS,289,2115797549,PRJNA1419542,SAMN55191784,Metagenome or environmental,620612079,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598556,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,C10S,Small intestine,36.07 N 120.38 E,C10S,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:42:00Z,1,C10S,SRP685723
SRR37721298,WGS,301,2443985578,PRJNA1419542,SAMN55191765,Metagenome or environmental,692753857,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598554,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,A11B,Cecum,36.07 N 120.38 E,A11B,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:47:00Z,1,A11B,SRP685723
SRR37721300,WGS,301,3108817326,PRJNA1419542,SAMN55191781,Metagenome or environmental,883166384,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598552,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,A9B,Cecum,36.07 N 120.38 E,A9B,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:40:00Z,1,A9B,SRP685723
SRR37721302,WGS,301,2856829916,PRJNA1419542,SAMN55191779,Metagenome or environmental,818171507,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598550,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,A7B,Cecum,36.07 N 120.38 E,A7B,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:39:00Z,1,A7B,SRP685723
SRR37721308,WGS,300,662897451,PRJNA1419542,SAMN55191773,Metagenome or environmental,190339677,QINGDAO AGRICULTURAL UNIVERSITY,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32598544,China,Asia,China:Qingdao,Mus musculus,Illumina NovaSeq X Plus,A3B,Cecum,36.07 N 120.38 E,A3B,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T13:35:00Z,1,A3B,SRP685723
